Blog Name, Blog Post URL, All tags, Liked the post?
shimmering1437,https://shimmering1437.tumblr.com/post/167441784587/i-cant-fall-asleep-so-of-course-im-gonna-torture,"personal, me, boy band, westlife, 98 degrees, backstreet boys, savage garden, *nsync",False
1990jamesishere,https://1990jamesishere.tumblr.com/post/167434257835/i-just-realized-i-am-98-days-sober-today-it,"drug recovery, 98 degrees, childhood memories",False
thehewittfanatic,http://thehewittfanatic.tumblr.com/post/167302563530/happy-birthday-to-nick-vanessa-lachey-btw-98,"98 degrees, nick lachey, vanessa lachey, dancing with the stars, lachey's bar",False
rumbyfish,https://rumbyfish.tumblr.com/post/167207118086/98º-circle-of-life-the-lion-king,"98 degrees, circle of life, lion king, disney, music, english",False
madforfashiondude,http://madforfashiondude.tumblr.com/post/167020884348/lets-have-a-parade-the-world-renowned-macys,"91st Annual Macy’s Thanksgiving Day Parade®, 98 Degrees, Andra Day &amp; Common, Andy Grammer, Angelica Hale, Bebe Rexha, Bravo’s Top Chef stars Padma Lakshmi &amp; Tom Colicchio, Cam, Disney Frozen’s Olaf, Dustin Lynch, FLO RIDA, Goo Goo Dolls, Harold the Baseball Player, Illumination presents Dr. Seuss’ The Grinch, Jimmy Fallon &amp; The Roots, Jojo Siwa, Kat Graham, Lauren Alaina, Leslie Odom Jr., Miss America 2018 Cara Mund, Nicky Jam, Olivia Holt, PAW Patrol®, Sabrina Carpenter, Sara Evans, Smokey Robinson, WYCLEF JEAN",False
c0tt0ncandi,http://c0tt0ncandi.tumblr.com/post/167017641259/if-yall-could-make-a-5-person-band-with-any-90s,"for me it’s JC AJ Dan Devin and Scott, Nsync, BSB, 98 degrees, lfo, 90’s, o-town",False
festivalgear,http://festivalgear.tumblr.com/post/166992909105/before-halloween-is-even-over-tis-the-season-for,"98 Degrees, alabama, Cheap Trick, Chris Pasin, Dude York, Fantasia, Gwen Stefani, Hanson, Jonathan Cain, Journey, Kelly Clarkson, Lindsey Stirling, REO Speedwagon, RuPaul&039;s Drag Race, Sia, Smokey Robinson, Sounding Board, Tav Falco, The Tenors, Us The Duo",False
capitalcitytickets,http://capitalcitytickets.tumblr.com/post/166989829979/discount-98-degrees-concert-tickets-venues,"98 Degrees, 98 Degrees Tickets, concert tickets",False
midnightmystical,https://midnightmystical.tumblr.com/post/166728096627/dwts-s25-movie-night-nickpeta-oh-god-no-nick-is,"yikes, 90s, 90s music, 98 degrees, nick lachey, peta murgatroyd, dwts, dwts 25, dance, dancing, dancing with the stars, dwts liveblog, dwts lb",False
midnightmystical,https://midnightmystical.tumblr.com/post/166235779642/dwts-s25-mmy-nickpeta-another-contemporary,"90s, 90s music, 98 degrees, nick lachey, peta murgatroyd, dwts, dwts 25, dance, dancing, dancing with the stars, dwts lb, dwts liveblog",False
